id	text	morphemes
84	निवेशकों ने पैसा लगाया है।	निवेशक ओं ने पैसा लगा या है ।
85	खिलाड़ियों ने मैच खेला है।	खिलाड़ी ओं ने मैच खेल आ है ।
86	कोचों ने खिलाड़ियों को प्रशिक्षण दिया है।	कोच ओं ने खिलाड़ी ओं को प्रशिक्षण दिया है ।
87	अंपायरों ने मैच देखा है।	अंपायर ओं ने मैच देख आ है ।
88	प्रशंसकों ने मैच देखा है।	प्रशंसक ओं ने मैच देख आ है ।
89	टीमों ने मैच जीता है।	टीम ओं ने मैच जीत आ है ।
90	खिलाड़ियों ने ट्रॉफी जीती है।	खिलाड़ी ओं ने ट्रॉफी जीत ई है ।
91	प्रशिक्षकों ने खिलाड़ियों को सिखाया है।	प्रशिक्षक ओं ने खिलाड़ी ओं को सिखा या है ।
92	प्रबंधकों ने योजना बनाई है।	प्रबंधक ओं ने योजना बना ई है ।
93	कर्मचारियों ने काम किया है।	कर्मचारी ओं ने काम कर या है ।
94	अधिकारियों ने निर्णय लिया है।	अधिकारी ओं ने निर्णय लिया है ।
95	मंत्रियों ने बैठक की है।	मंत्री ओं ने बैठक का ई है ।
96	सांसदों ने विधेयक पारित किया है।	सांसद ओं ने विधेयक पारित कर या है ।
97	विधायकों ने कानून बनाया है।	विधायक ओं ने कानून बना या है ।
98	न्यायाधीशों ने फैसला सुनाया है।	न्यायाधीश ओं ने फैसला सुना या है ।
99	वकीलों ने बहस की है।	वकील ओं ने बहस का ई है ।
100	गवाहों ने गवाही दी है।	गवाह ओं ने गवाही दी है ।
101	अपराधियों को सजा मिली है।	अपराधी ओं को सजा मिल ई है ।
102	कैदियों को रिहा किया गया है।	कैदी ओं को रिहा कर या गया है ।
103	पुलिसकर्मियों ने जांच की है।	पुलिसकर्मी ओं ने जांच का ई है ।
104	जासूसों ने सुराग खोजा है।	जासूस ओं ने सुराग खोज आ है ।
105	सैनिकों ने युद्ध लड़ा है।	सैनिक ओं ने युद्ध लड़ आ है ।
106	जवानों ने देश की सेवा की है।	जवान ओं ने देश का ई सेवा का ई है ।
107	अधिकारियों ने आदेश दिया है।	अधिकारी ओं ने आदेश दिया है ।
108	सैनिकों ने आदेश माना है।	सैनिक ओं ने आदेश मान आ है ।
109	अफसरों ने रिपोर्ट लिखी है।	अफसर ओं ने रिपोर्ट लिख ई है ।
110	क्लर्कों ने फाइलें तैयार की हैं।	क्लर्क ओं ने फाइल एं तैयार का ई हैं ।
111	सचिवों ने बैठक की है।	सचिव ओं ने बैठक का ई है ।
112	प्रधानों ने निर्णय लिया है।	प्रधान ओं ने निर्णय लिया है ।
113	सदस्यों ने वोट दिया है।	सदस्य ओं ने वोट दिया है ।
114	प्रतिनिधियों ने बैठक में भाग लिया है।	प्रतिनिधि ओं ने बैठक में भाग लिया है ।
115	नेताओं ने भाषण दिया है।	नेता ओं ने भाषण दिया है ।
116	कार्यकर्ताओं ने आंदोलन किया है।	कार्यकर्ता ओं ने आंदोलन कर या है ।
117	समर्थकों ने समर्थन किया है।	समर्थक ओं ने समर्थन कर या है ।
118	विरोधियों ने विरोध किया है।	विरोधी ओं ने विरोध कर या है ।
119	मतदाताओं ने वोट डाला है।	मतदाता ओं ने वोट डाल आ है ।
120	उम्मीदवारों ने चुनाव लड़ा है।	उम्मीदवार ओं ने चुनाव लड़ आ है ।
121	जीतने वालों को बधाई मिली है।	जीत ने वाल ओं को बधाई मिल ई है ।
122	हारने वालों ने हार मान ली है।	हार ने वाल ओं ने हार मान ली है ।
123	प्रतियोगियों ने प्रतियोगिता में भाग लिया है।	प्रतियोगी ओं ने प्रतियोगिता में भाग लिया है ।
124	जजों ने मुकदमे की सुनवाई की है।	जज ओं ने मुकदमे का ई सुनवाई का ई है ।
125	वकीलों ने तर्क दिया है।	वकील ओं ने तर्क दिया है ।
126	गवाहों ने सच बताया है।	गवाह ओं ने सच बता या है ।
127	अभियुक्तों ने अपना पक्ष रखा है।	अभियुक्त ओं ने अपना पक्ष रख आ है ।
128	न्यायाधीशों ने निष्पक्ष फैसला दिया है।	न्यायाधीश ओं ने निष्पक्ष फैसला दिया है ।
129	पीड़ितों को न्याय मिला है।	पीड़ित ओं को न्याय मिल आ है ।
130	अपराधियों को सजा हुई है।	अपराधी ओं को सजा हो ई है ।
131	कैदियों को जेल में रखा गया है।	कैदी ओं को जेल में रख आ गया है ।
132	रिहाई के लिए याचिका दायर की गई है।	रिहाई का ए लिए याचिका दायर का ई गई है ।
133	वकीलों ने अपील की है।	वकील ओं ने अपील का ई है ।
134	न्यायालय ने फैसला सुनाया है।	न्यायालय ने फैसला सुना या है ।
135	अपराधियों को माफी मिली है।	अपराधी ओं को माफी मिल ई है ।
136	पीड़ितों के परिवार वालों ने न्याय मांगा है।	पीड़ित ओं का ए परिवार वाल ओं ने न्याय मांग आ है ।
137	समाजसेवियों ने मदद की है।	समाजसेवी ओं ने मदद का ई है ।
138	स्वयंसेवकों ने सेवा की है।	स्वयंसेवक ओं ने सेवा का ई है ।
139	दानदाताओं ने दान दिया है।	दानदाता ओं ने दान दिया है ।
140	लाभार्थियों को सहायता मिली है।	लाभार्थी ओं को सहायता मिल ई है ।
141	गरीबों को भोजन मिला है।	गरीब ओं को भोजन मिल आ है ।
142	बेघरों को आश्रय मिला है।	बेघर ओं को आश्रय मिल आ है ।
143	बेसहारों को सहारा मिला है।	बेसहारा ओं को सहारा मिल आ है ।
144	असहायों को मदद मिली है।	असहाय ओं को मदद मिल ई है ।
145	विकलांगों को सुविधाएं मिली हैं।	विकलांग ओं को सुविधा एं मिल ई हैं ।
146	बुजुर्गों की देखभाल की जा रही है।	बुजुर्ग ओं का ई देखभाल का ई जा रह ई है ।
147	बच्चों की शिक्षा पर जोर दिया जा रहा है।	बच्च ओं का ई शिक्षा पर जोर दिया जा रह आ है ।
148	महिलाओं को सशक्त बनाया जा रहा है।	महिला ओं को सशक्त बना या जा रह आ है ।
149	युवाओं को प्रोत्साहन दिया जा रहा है।	युवा ओं को प्रोत्साहन दिया जा रह आ है ।
150	किसानों को सहायता दी जा रही है।	किसान ओं को सहायता दी जा रह ई है ।

